Hours,Minutes,Dateavg,Depthavg,Tempavg,Salavg
11,13,2021-01-15T11:13:25Z,0.261,29.086666666666666,33.76042472333333
11,14,2021-01-15T11:14:25Z,0.25833333333333336,29.056666666666665,33.80291023
11,15,2021-01-15T11:15:25Z,0.27016666666666667,29.056666666666665,33.78922398
11,16,2021-01-15T11:16:25Z,0.2535,29.045,33.79692961166667
11,17,2021-01-15T11:17:25Z,0.24333333333333332,29.035,33.81221065
11,18,2021-01-15T11:18:25Z,0.26166666666666666,29.023333333333333,33.82374501
11,19,2021-01-15T11:19:25Z,0.25566666666666665,28.99,33.84075223666667
11,20,2021-01-15T11:20:25Z,0.25816666666666666,28.98,33.841855253333335
11,21,2021-01-15T11:21:25Z,0.2685,29.01,33.85071135
11,22,2021-01-15T11:22:25Z,0.27166666666666667,28.991666666666667,33.835772326666664
11,23,2021-01-15T11:23:25Z,0.2841666666666667,28.976666666666667,33.84585235
11,24,2021-01-15T11:24:25Z,0.25966666666666666,28.948333333333334,33.864309803333335
11,25,2021-01-15T11:25:25Z,0.279,28.918333333333333,33.874641458333336
11,26,2021-01-15T11:26:25Z,0.29483333333333334,28.911666666666665,33.879370906666665
11,27,2021-01-15T11:27:25Z,0.2803333333333333,28.901666666666667,33.89306206333333
11,28,2021-01-15T11:28:25Z,0.2765,28.895,33.91533085666667
11,29,2021-01-15T11:29:25Z,0.2803333333333333,28.981666666666666,33.85114822
11,30,2021-01-15T11:30:25Z,0.2775,28.988333333333333,33.851915995
11,31,2021-01-15T11:31:25Z,0.26616666666666666,28.845,33.929505338333335
11,32,2021-01-15T11:32:25Z,0.26233333333333336,28.873333333333335,33.92362318333333
11,33,2021-01-15T11:33:25Z,0.2775,28.87,33.953960026666664
11,34,2021-01-15T11:34:25Z,0.277,28.883333333333333,33.94721597
11,35,2021-01-15T11:35:25Z,0.2748333333333334,28.88,33.93312383833334
11,36,2021-01-15T11:36:25Z,0.275,28.881666666666668,33.94180230166666
